CONTEXTO,2026-09-04 13:56:31.273,NULL,NULL,Servidor,LOCKMX-DBQA,NULL
DEBUG_SQL,2026-09-03 10:55:23.217,2706,NULL,cobranza_bf3_ruta_sql,NULL,ruta=SET_UNICA; empresa=917; vigencia=4251; cache=0
CACHE_ESTADO,2026-09-04 13:39:58.794,9,COMPLETA,2026-05-16 a 2026-09-30,Concentrada=446; Desglosada=1069,"IdSolTipo=1; IdVencida=1; EsUniverso=0; Perfiles=3056,3057,3058,9986; Fin=2026-09-04T13:41:19.041; Mensaje=Carga completa"
CACHE_ESTADO,2026-09-04 13:32:06.294,8,COMPLETA,2026-09-01 a 2026-09-30,Concentrada=446; Desglosada=1069,"IdSolTipo=1; IdVencida=1; EsUniverso=0; Perfiles=3056,3057,3058,9986; Fin=2026-09-04T13:33:24.730; Mensaje=Carga completa"
CACHE_LOG,2026-09-04 13:41:19.041,134,COMPLETA,CARGA_COMPLETA,9,Resultado=CARGA_COMPLETA; modo=FULL
CACHE_LOG,2026-09-04 13:41:19.041,133,CARGANDO,SP_ORIGINAL_FIN,9,Finalizo ObtenCobranzaConcentrada_otro_V2_BF3.
CACHE_LOG,2026-09-04 13:39:58.841,132,CARGANDO,SP_ORIGINAL_INICIO,9,Inicia ObtenCobranzaConcentrada_otro_V2_BF3; modo=FULL
CACHE_LOG,2026-09-04 13:39:58.810,131,CARGANDO,CACHE_PREPARADA,9,"Modo=FULL; universo=0; perfiles=3056,3057,3058,9986"
CACHE_LOG,2026-09-04 13:39:58.810,130,CARGANDO,BLOQUEO_OBTENIDO,NULL,BF3-CobranzaCache-917-4251-1C66BFBAAFA33B9FB6C051F621574DE109E84B351E9BDB9F98915B8FCC7C83BB-1
CACHE_LOG,2026-09-04 13:39:58.810,129,SOLICITADA,SOLICITUD_CARGA,NULL,"Recurso=BF3-CobranzaCache-917-4251-1C66BFBAAFA33B9FB6C051F621574DE109E84B351E9BDB9F98915B8FCC7C83BB-1; perfiles=3056,3057,3058,9986"
CACHE_LOG,2026-09-04 13:39:03.234,128,CARGANDO,CACHE_PREPARADA,8,"Modo=DELTA; universo=0; perfiles=3056,3057,3058,9986"
CACHE_LOG,2026-09-04 13:39:03.218,127,CARGANDO,BLOQUEO_OBTENIDO,NULL,BF3-CobranzaCache-917-4251-1C66BFBAAFA33B9FB6C051F621574DE109E84B351E9BDB9F98915B8FCC7C83BB-1
CACHE_LOG,2026-09-04 13:39:03.218,126,SOLICITADA,SOLICITUD_CARGA,NULL,"Recurso=BF3-CobranzaCache-917-4251-1C66BFBAAFA33B9FB6C051F621574DE109E84B351E9BDB9F98915B8FCC7C83BB-1; perfiles=3056,3057,3058,9986"
CACHE_LOG,2026-09-04 13:37:13.083,125,CARGANDO,CACHE_PREPARADA,8,"Modo=DELTA; universo=0; perfiles=3056,3057,3058,9986"
