0,3,GMM,29,DC_EMER_EX_GDL,DC_EMER_EX_GDL,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,30,DC_AMP_EMER_EX_GDL,DC_AMP_EMER_EX_GDL,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,31,DC_AMP_EMER_EX_MTY,DC_AMP_EMER_EX_MTY,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,32,DC_EMER_EX_MTY,DC_EMER_EX_MTY,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,33,DC_EMER_EX_ALT,DC_EMER_EX_ALT,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,34,DC_AMP_EMER_EX_ALT,DC_AMP_EMER_EX_ALT,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,35,IDEmp,IDEmp,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,36,INFO,INFO,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,37,Calle,Calle,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,38,NumExt,NumExt,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,39,NumInt,NumInt,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,40,Colonia,Colonia,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,41,Del_Municipio,Del_Municipio,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,42,EstadoFiscal,EstadoFiscal,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,43,CP,CP,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,44,GMM_ANT,GMM_ANT,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,45,Exceso_ante,Exceso_ante,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,46,Ubicacion,Ubicacion,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,47,Folio,Folio,1,NULL,NULL,NULL,NULL,0,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073,NULL,2026-02-13 21:19:16.073
0,3,GMM,48,NombrePestana,NombrePestana,0,NULL,NULL,NULL,NULL,25,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380
0,3,GMM,49,TipoSabana,TipoSabana,0,NULL,NULL,NULL,NULL,25,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380
0,3,GMM,50,POidPlan,POidPlan,0,NULL,NULL,NULL,NULL,25,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380
0,3,GMM,51,EMidParentesco,EMidParentesco,0,NULL,NULL,NULL,NULL,25,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380
0,3,GMM,52,poidplanopcion,poidplanopcion,0,NULL,NULL,NULL,NULL,25,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380
0,3,GMM,53,POidGrupoParentesco,POidGrupoParentesco,0,NULL,NULL,NULL,NULL,25,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380
0,3,GMM,54,PLNombre,PLNombre,0,NULL,NULL,NULL,NULL,25,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380
0,3,GMM,55,EMNombre1,EMNombre1,0,NULL,NULL,NULL,NULL,25,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380
0,3,GMM,56,EMNombre2,EMNombre2,0,NULL,NULL,NULL,NULL,25,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380
0,3,GMM,57,EMFechaAlta,EMFechaAlta,0,NULL,NULL,NULL,NULL,25,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380
0,3,GMM,58,RFC,RFC,0,NULL,NULL,NULL,NULL,25,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380,NULL,2026-08-19 11:08:19.380
0,3,Mascotas,2,Empresa,Empresa,1,NULL,NULL,NULL,NULL,0,2026-06-26 21:20:36.970,NULL,2026-06-26 21:20:36.970,NULL,2026-06-26 21:20:36.970
