2050,2026-08-21 08:54:50.400,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
2049,2026-08-21 08:54:50.370,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=73
2048,2026-08-21 08:54:50.213,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2047,2026-08-21 08:54:50.197,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
2046,2026-08-21 08:54:50.167,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=235
2045,2026-08-21 08:54:49.963,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2044,2026-08-21 08:54:49.933,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
2043,2026-08-21 08:54:49.917,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=335
2042,2026-08-21 08:54:49.870,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2041,2026-08-21 08:54:49.840,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
